重庆,#genre#
爱看导视,http://192.168.1.111/cqyx.php?id=aikanHD
重广融媒,http://192.168.1.111/cqyx.php?id=cqrongmei
﻿重庆卫视,http://192.168.1.111/cqyx.php?id=chongqingHD
重庆新闻,http://192.168.1.111/cqyx.php?id=CQTVNewsHD
重庆影视,http://192.168.1.111/cqyx.php?id=cqyingshiHD
重庆社会与法,http://192.168.1.111/cqyx.php?id=CQTVTrendyHD
重庆时尚生活,http://192.168.1.111/cqyx.php?id=cqssgwHD
重庆文体娱乐,http://192.168.1.111/cqyx.php?id=cqwtylHD
重庆新农村,http://192.168.1.111/cqyx.php?id=cqggncHD
重庆少儿,http://192.168.1.111/cqyx.php?id=cqseHD
重庆科教,http://192.168.1.111/cqyx.php?id=CQTVkejiaoHD
重庆汽摩,http://192.168.1.111/cqyx.php?id=cqcarSD
重庆移动,http://192.168.1.111/cqyx.php?id=mryyHD

央视,#genre#
CCTV4K超高清,http://192.168.1.111/cqyx.php?id=CCTV4K
CCTV1综合,http://192.168.1.111/cqyx.php?id=cctv1HD
CCTV2财经,http://192.168.1.111/cqyx.php?id=cctv2HD
CCTV3综艺,http://192.168.1.111/cqyx.php?id=cctv3HD
CCTV4中文国,http://192.168.1.111/cqyx.php?id=cctv4HD
CCTV5体育,http://192.168.1.111/cqyx.php?id=cctv5HD
CCTV6电影,http://192.168.1.111/cqyx.php?id=cctv6HD
CCTV7国防军事,http://192.168.1.111/cqyx.php?id=cctv7HD
CCTV8电视剧,http://192.168.1.111/cqyx.php?id=cctv8HD
CCTV9纪录,http://192.168.1.111/cqyx.php?id=cctv9HD
CCTV10科教,http://192.168.1.111/cqyx.php?id=cctv10HD
CCTV11戏曲,http://192.168.1.111/cqyx.php?id=cctv11HD
CCTV12社会与法,http://192.168.1.111/cqyx.php?id=cctv12HD
CCTV13新闻,http://192.168.1.111/cqyx.php?id=CCTVNewsHD
CCTV14少儿,http://192.168.1.111/cqyx.php?id=cctvseHD
